HOSPITAL,,,Reviewer,"RATING CATEGORIES (Score 1-5, 1 = low/bad, 5 = high, outstanding)",,,,,,,,,,REVIEWS,,,
Hospital Name,Hospital City,Hospital State ,Reviewer's Name,Onboarding & Orientation,Culture & Friendliness Toward Travelers,Facility Location,Safety & Patient Ratios,Management & Leadership,Patient Acuity,Housing Options,Pay,Diversity & Inclusion,Would You Return?,Review Title,Review,Source Website,Date Posted 
Abbott Northwestern Hospital,Minneapolis,MN,Anonymous,4,5,3.5,5,5,-,-,-,-,-,Syndicated Review,"Worked on the GI/GU Med Surg floor and absolutely loved it here. Good ratios 1:4 on days and 1:6 on night. Staff on the unit was so helpful and kind. Big hospital with many resources including IV team, RRT team, Code Team, RTs, and phlebotomy. Hospital location is not the safest but parked in the parking ramp and had a walkway over there which was nice. Floated to other MedSurg units as needed.",https://app.scrubstr.com/,"August 26, 2023"
Abraham Lincoln Memorial Hospital,Lincoln,IL,Anonymous,4,5,5,2,4,-,-,-,-,-,Syndicated Review,"Soldotna is a small sleepy town where people go to retire. Very safe town, i usually leave my car unlocked and nothing has ever happened. The hospital is surprisingly busy for how small the town is. Med surg is 38 beds with an overflow unit that is sometimes open, up to 43. ICU has 10 beds and their ICU is more like step down. The only place you could float to as med surg is ED for holds and that usually doesn’t happen. There’s RT and phleb 24/7, never had to draw my own labs which is nice. Staff are pretty friendly and most have been there a long time, you’ll only find 1-2 new grads. Ratios on nights have ranged anywhere from 4 to sometimes 7 or 8. Usually it’s a max of 6 but they never stop admitting even if there isn’t staff. There is 1 charge for the entire med surg unit. Sometimes they have 1 or 2 patients but they usually are a free charge. Most of the staff don’t take lunches, they keep their vocera on them while they eat. Sometimes the CNAs are properly staffed but sometimes not and you might have to get your own vitals and glu poc. It’s a med surg tele unit but there’s a tele tech that’s monitoring and usually only 1 or 2 of my patients were actually on tele. Most of your patients are 70-80-90 year old full codes, a lot of COPD and CHF. Have only encountered 1 or 2 drug addicts. There’s a few staff that are ultrasound trained which is nice when you have a hard stick. There’s no pharmacy on nights so sometimes you have to override meds or have the house sup pull it for you if it’s a new patient. Doctors are usually nice and give you what you need. Overall mostly positive experience.",https://app.scrubstr.com/,"December 13, 2022"
Abrazo Arrowhead Campus,Glendale,AZ,Anonymous,3,3,2,3,3,-,-,-,-,-,Syndicated Review,I was there for a Covid crisis assignment and it was 90% travelers on the unit. We never had the meds we needed and never saw management. We used the hospital scrubs,https://app.scrubstr.com/,"May 8, 2023"
Abrazo Central Campus,Phoenix,AZ,Anonymous,3,3,2,3,3,,,,,,Syndicated Review,I was there for a Covid crisis assignment and it was 90% travelers on the unit. We never had the meds we needed and never saw management. We used the hospital scrubs,https://app.scrubstr.com/,"May 8, 2023"
Abrazo Scottsdale Campus,Phoenix,AZ,Anonymous,3,4,4,1,5,,,,,,Syndicated Review,VERY old version of cerner,https://app.scrubstr.com/,"March 15, 2023"
Abrazo West Campus Hospital Development Of West Phoenix,Goodyear,AZ,Anonymous,2,3,4,1,1,,,,,,Syndicated Review,Ratios were awful back in October of 2021.,https://app.scrubstr.com/,"December 22, 2023"
Adventhealth Altamonte Springs,Altamonte Springs,FL,Anonymous,2,2,4,4,5,,,,,,Syndicated Review,"Had to recite scripts. Charge nurses main job to walk around and make sure we were using “code words”. Hyper focused on scores and micromanaging. Very little focus is on patient care and safety. No phlebotomy, some nights there are no techs. Nurses do literally everything. There are way better hospitals to accept contracts from, don’t risk your license.",https://app.scrubstr.com/,"November 30, 2021"
Adventhealth Altamonte Springs,Altamonte Springs,FL,Anonymous,2,2,4,4,5,,,,,,Syndicated Review,Onboarding and precepting experience was excellent. Charting requirements are a little excessive. Staff was very friendly and helpful with the exception of a few. Doctor and pharmacist available all night. No techs or phlebotomy. No cafeteria at night. Hospital is old and needs updating. Free covered parking garage next to hospital. Would recommend the ICU.,https://app.scrubstr.com/,"November 21, 2023"
Advent Health Carrollwood,Tampa,FL,Anonymous,4.5,4.5,5,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"June 22, 2021"
Adventhealth Celebration,Celebration,FL,Anonymous,4.5,4.5,5,4,4.5,,,,,,Syndicated Review,"Overall really happy with this assignment. Ratios in the ED are always 4-1 or 3-1. Most staff is very friendly and helpful. Main complaint is they are extremely particular about charting (though I believe it's due to state requirements). They really want to ensure you get a break, though usually you and your podmate have to break eachother, so you'll have 6-8 pts for 30 minutes. FL hospitals have a bad rep, so I was overall happy with this assignment.",https://app.scrubstr.com/,"December 6, 2022"
Advent Health Dade City,Dade City,FL,Anonymous,5,5,4,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"September 16, 2021"
Adventhealth Daytona Beach,Daytona Beach,FL,Anonymous,4,5,5,4,5,,,,,,Syndicated Review,great place to work! Management team is excellent and extremely supportive. They actually care about you even as a new employee. Great place to work!,https://app.scrubstr.com/,"December 6, 2022"
Adventhealth Deland,Deland,FL,Anonymous,4,4.5,5,-,-,,,,,,Syndicated Review,Changing to Epic new year 2022,https://app.scrubstr.com/,"September 13, 2021"
Adventhealth East Orlando,Orlando,FL,Anonymous,5,5,4,4,1,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"August 7, 2024"
Adventhealth Gordon Hospital,Calhoun,GA,Anonymous,4,5,3.5,-,-,,,,,,Syndicated Review,Awesome charge nurse! April was fantastic.,https://app.scrubstr.com/,"March 31, 2022"
Adventhealth Gordon Hospital,Calhoun,GA,Anonymous,4,5,3.5,-,-,,,,,,Syndicated Review,"Overall the facility was great. Small hospital, 70 beds I believe. 10 bed ICU. The staff were very friendly in every department. I did get floated A LOT, but they over hired for ICU travelers. But every floor I went to everyone was very friendly and helpful. There is not much going on in Calhoun but it is close to Chattanooga. I would go back!!",https://app.scrubstr.com/,"December 4, 2021"
Adventhealth Kissimmee,Kissimmee,FL,Anonymous,4.5,5,5,5,3.5,,,,,,Syndicated Review,You’re only allowed 3 call outs a year and the way that goes is if you called out 01/05/2020 you’ll have to wait until 01/05/2021 for that call out to disappear. Sick note or death in the family (unless it’s immediate family) still count as a call out. If you call out on a weekend you will be required to work an additional shift even if it puts you on 4 days that week. It’s a great company just wished they worked with their employees. We are humans at the end of the day.,https://app.scrubstr.com/,"December 17, 2022"
Adventhealth Ocala,Ocala,FL,Anonymous,2.5,2.5,3.5,2,4,,,,,,Syndicated Review,They use the LPN model but because of staffing you hardly ever have an LPN and still get ratios as if you have one. ICU 3:1 PCU 5-6:1. Always get floated.,https://app.scrubstr.com/,"March 13, 2023"
Adventhealth Ocala,Ocala,FL,Anonymous,2.5,2.5,3.5,2,4,,,,,,Syndicated Review,"The negligence is astounding. The ICU manager simply doesn't care. Doesn't care about acuity, RN skillset, competent care, safe staffing, ect. Will cut corners despite what is actually best for the patients. She is the definition of cut throat.",https://app.scrubstr.com/,"May 5, 2021"
Adventhealth Orlando,Orlando,FL,Anonymous,3.5,3.5,4.5,4,4,,,,,,Syndicated Review,"I was on the ortho PCU floor. Ratios were good 1:4-5, unit is primarily travelers on night shift. Management can use a lot of work. I had zero interaction with the head manager. Night shift assistant managers could not give a damn about your schedule and I was often scheduled on/off and worked every weekend for one of the three months I was there even though standard was every other weekend. Some travel nurses didn’t have to work weekend shifts. I was also in school and they could not care less whether you have an exam or not. It wasn’t a terrible experience however I was ready to be DONE. RNs are expected to do everything for patient except baths. This includes: sugars, labs, &vitals on all 5 patients. Patient population is mainly geriatric on this ortho floor and most of the 9/10 times your entire team will need morning labs and all are diabetics so essentially you are nonstop on your feet from 2-6am giving round the clock pain meds, doing vitals, sugars, and labs with no help. Their “PCU” floors are mixed medsurg most of them are not even PCU level.",https://app.scrubstr.com/,"December 4, 2022"
Adventhealth Orlando,Orlando,FL,Anonymous,3.5,3.5,4.5,4,4,,,,,,Syndicated Review,Ortho PCU specifically 10/10 recommend. 1:4-5 ratio,https://app.scrubstr.com/,"August 23, 2022"
Adventhealth Orlando,Orlando,FL,Anonymous,3.5,3.5,4.5,4,4,,,,,,Syndicated Review,"When hired on as a traveler, be prepared to be in the float pool at first. They apparently “home you” a unit that they need to fill in the gaps regardless so you might be in a pcu level floor even if you’re icu trained. Staff aren’t too traveler friendly but that’s the least of my worries. I was just excited when my 13 weeks were done.",https://app.scrubstr.com/,"January 7, 2022"
Adventhealth Shawnee Mission Medical Center,Shawnee Mission,KS,Anonymous,4.5,4.5,4.5,2.5,4.5,,,,,,Syndicated Review,"Overall the hospital is just like any other. Vitals machines in all rooms on PCU. Computer on wheels for medication passes. The staff is friendly, a bit cliquey at times but manageable. The patient to staff rations are trash! So unsafe! Most nights the RNs are at the supposed to be maxed at 5 but are stretched to 6. The CAs are supposed to be maxed at 12 but they exceed that most nights. Charges are taking 2-6 patients most nights. The MDs are good and helpful.",https://app.scrubstr.com/,"December 6, 2022"
Adventhealth Shawnee Mission Medical Center,Shawnee Mission,KS,Anonymous,4.5,4.5,4.5,2.5,4.5,,,,,,Syndicated Review,"always 1:2 unless high risk- management is the reason this place is suffering, protocols are great, majority of staff is good, good place to be if youre in an emergency c/s. will be switching to spicmm",https://app.scrubstr.com/,"December 5, 2022"
Adventhealth Shawnee Mission Medical Center,Shawnee Mission,KS,Anonymous,4.5,4.5,4.5,2.5,4.5,,,,,,Syndicated Review,"Day shift. Staff nurses were so helpful and friendly! The vast majority of my days were spent 1:1. Floated as a sitter a few times. Lots of travelers on day shift, none on night shift. Overall, would recommend and extend. KC also has lots to do on your off time.",https://app.scrubstr.com/,"May 3, 2023"
Adventhealth Tampa,Tampa,FL,Anonymous,2,3,3,-,-,,,,,,Syndicated Review,"DO NOT WORK HERE! They did not adhere to multiple contracts, explicitly disregarding terms. No one cared that a doc sewed a lap in the abdomen. No fire safety. Hallways blocked. No retention of staff.",https://app.scrubstr.com/,"April 30, 2022"
Adventhealth Waterman,Tavares,FL,Anonymous,4,5,4,-,-,,,,,,Syndicated Review,Switching to Epic in March 2022,https://app.scrubstr.com/,"November 28, 2021"
Adventhealth Wesley Chapel,Wesley Chapel,FL,Anonymous,4,5,5,5,5,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"April 12, 2023"
Adventhealth Winter Park Memorial Hospital,Winter Park,FL,Anonymous,4.5,4.5,5,5,5,,,,,,Syndicated Review,The ER is brand new and beautiful. I loved this assignment so much! My preceptor ditched me though so orientation wasn’t rough but once I got the hang of it it was great and I extended.,https://app.scrubstr.com/,"December 4, 2022"
Adventhealth Winter Park Memorial Hospital,Winter Park,FL,Anonymous,4.5,4.5,5,5,5,,,,,,Syndicated Review,Very travel friendly unit and helpful. Excellent team work.,https://app.scrubstr.com/,"February 18, 2021"
Adventist Health And Rideout Memorial Hospital,Marysville,CA,Anonymous,4,4.5,3,-,-,,,,,,Syndicated Review,"Contact from 3-5/22: If you like excessive charting, being reprimanded for a single missed mepilex, chart audits hourly, having to make a unit specific SBAR or the CN and oncoming RN, and having to give bedside report while signing off on multiple in-room checks, this is the place for you! Nurses are cliquish and will throw travelers under the bus at the first opportunity. This place cares more about charting than patient care. Run away!",https://app.scrubstr.com/,"April 29, 2022"
Adventist Health And Rideout Memorial Hospital,Marysville,CA,Anonymous,4,4.5,3,-,-,,,,,,Syndicated Review,The people at Rideout completely make the hospital! The management on the ICU floors was great. Everyone was SO friendly and eager to help us! The team was close. My only complaint was the hospital canceled us early.,https://app.scrubstr.com/,"November 15, 2021"
